timestamp,underlying,type,strike,expiry,last,bid,ask,volume,oi,iv,delta,gamma,theta,vega
20251212 20:16,AAPL,call,110.0,2025-12-12,167.65,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,110.0,2025-12-12,0.01,0.0,0.0,1.0,2,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,120.0,2025-12-12,154.48,0.0,0.0,nan,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,120.0,2025-12-12,0.01,0.0,0.0,nan,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,125.0,2025-12-12,0.01,0.0,0.0,1.0,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,135.0,2025-12-12,0.01,0.0,0.0,1.0,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,145.0,2025-12-12,0.01,0.0,0.0,1.0,10,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,150.0,2025-12-12,127.5,0.0,0.0,1.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,155.0,2025-12-12,123.05,0.0,0.0,1.0,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,155.0,2025-12-12,0.01,0.0,0.0,2.0,41,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,160.0,2025-12-12,118.22,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,165.0,2025-12-12,113.27,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,165.0,2025-12-12,0.01,0.0,0.0,5.0,5,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,170.0,2025-12-12,105.49,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,170.0,2025-12-12,0.01,0.0,0.0,2.0,79,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,175.0,2025-12-12,0.03,0.0,0.0,nan,10,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,180.0,2025-12-12,97.82,0.0,0.0,2.0,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,180.0,2025-12-12,0.04,0.0,0.0,2.0,25,1.000005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,185.0,2025-12-12,92.93,0.0,0.0,2.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,185.0,2025-12-12,0.01,0.0,0.0,12.0,28,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,190.0,2025-12-12,88.23,0.0,0.0,1.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,190.0,2025-12-12,0.01,0.0,0.0,2.0,96,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,195.0,2025-12-12,83.0,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,195.0,2025-12-12,0.01,0.0,0.0,1.0,118,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,200.0,2025-12-12,77.7,0.0,0.0,2.0,83.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,200.0,2025-12-12,0.01,0.0,0.0,1.0,2188,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,205.0,2025-12-12,73.18,0.0,0.0,2.0,6.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,205.0,2025-12-12,0.01,0.0,0.0,41.0,208,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,210.0,2025-12-12,67.98,0.0,0.0,15.0,156.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,210.0,2025-12-12,0.01,0.0,0.0,2.0,187,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,215.0,2025-12-12,63.22,0.0,0.0,13.0,8.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,215.0,2025-12-12,0.01,0.0,0.0,2.0,156,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,220.0,2025-12-12,57.9,0.0,0.0,57.0,137.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,220.0,2025-12-12,0.01,0.0,0.0,5.0,378,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,222.5,2025-12-12,0.01,0.0,0.0,1.0,244,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,225.0,2025-12-12,52.85,0.0,0.0,90.0,199.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,225.0,2025-12-12,0.01,0.0,0.0,10.0,271,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,227.5,2025-12-12,51.42,0.0,0.0,18.0,20.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,227.5,2025-12-12,0.01,0.0,0.0,1.0,567,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,230.0,2025-12-12,47.82,0.0,0.0,27.0,144.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,230.0,2025-12-12,0.01,0.0,0.0,100.0,469,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,232.5,2025-12-12,45.13,0.0,0.0,1.0,811.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,232.5,2025-12-12,0.01,0.0,0.0,314.0,469,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,235.0,2025-12-12,42.95,0.0,0.0,67.0,308.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,235.0,2025-12-12,0.01,0.0,0.0,79.0,941,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,240.0,2025-12-12,37.86,0.0,0.0,597.0,1985.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,240.0,2025-12-12,0.01,0.0,0.0,1.0,1129,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,245.0,2025-12-12,33.02,0.0,0.0,23.0,193.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,245.0,2025-12-12,0.01,0.0,0.0,2.0,2907,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,247.5,2025-12-12,29.97,0.0,0.0,9.0,102.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,247.5,2025-12-12,0.01,0.0,0.0,21.0,440,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,250.0,2025-12-12,27.75,0.0,0.0,28.0,1012.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,250.0,2025-12-12,0.01,0.0,0.0,140.0,3873,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,252.5,2025-12-12,25.23,0.0,0.0,2.0,170.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,252.5,2025-12-12,0.01,0.0,0.0,5.0,691,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,255.0,2025-12-12,22.81,0.0,0.0,230.0,1507.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,255.0,2025-12-12,0.01,0.0,0.0,79.0,2293,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,257.5,2025-12-12,20.3,0.0,0.0,9.0,63.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,257.5,2025-12-12,0.02,0.0,0.0,86.0,1866,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,260.0,2025-12-12,17.91,0.0,0.0,263.0,775.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,260.0,2025-12-12,0.01,0.0,0.0,446.0,3845,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,262.5,2025-12-12,15.4,0.0,0.0,9.0,102.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,262.5,2025-12-12,0.03,0.0,0.0,792.0,4291,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,265.0,2025-12-12,12.95,0.0,0.0,90.0,1611.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,265.0,2025-12-12,0.02,0.0,0.0,2386.0,3897,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,267.5,2025-12-12,10.74,0.0,0.0,395.0,1564.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,267.5,2025-12-12,0.03,0.0,0.0,6665.0,6514,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,270.0,2025-12-12,8.08,0.0,0.0,2354.0,2502.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,270.0,2025-12-12,0.04,0.0,0.0,20123.0,10244,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,272.5,2025-12-12,5.5,0.0,0.0,3946.0,2276.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,272.5,2025-12-12,0.08,0.0,0.0,29432.0,7276,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,275.0,2025-12-12,3.43,0.0,0.0,28961.0,6211.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,275.0,2025-12-12,0.26,0.0,0.0,47372.0,7803,0.062509375,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,277.5,2025-12-12,1.51,0.0,0.0,48438.0,11385.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,277.5,2025-12-12,0.83,0.0,0.0,19639.0,6891,0.015634843750000002,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,280.0,2025-12-12,0.41,0.0,0.0,88094.0,36748.0,0.0312596875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,280.0,2025-12-12,2.35,0.0,0.0,4250.0,5832,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,282.5,2025-12-12,0.08,0.0,0.0,48818.0,23292.0,0.062509375,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,282.5,2025-12-12,4.44,0.0,0.0,766.0,1183,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,285.0,2025-12-12,0.03,0.0,0.0,20387.0,28050.0,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,285.0,2025-12-12,6.9,0.0,0.0,217.0,495,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,287.5,2025-12-12,0.01,0.0,0.0,9044.0,30417.0,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,287.5,2025-12-12,9.45,0.0,0.0,3455.0,26,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,290.0,2025-12-12,0.01,0.0,0.0,8718.0,39510.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,290.0,2025-12-12,12.35,0.0,0.0,201.0,49,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,292.5,2025-12-12,0.01,0.0,0.0,1910.0,6452.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,292.5,2025-12-12,14.23,0.0,0.0,1.0,6,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,295.0,2025-12-12,0.01,0.0,0.0,330.0,9057.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,295.0,2025-12-12,17.5,0.0,0.0,4.0,1,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,297.5,2025-12-12,0.01,0.0,0.0,175.0,2973.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,297.5,2025-12-12,20.01,0.0,0.0,4.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,300.0,2025-12-12,0.01,0.0,0.0,61.0,10879.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,300.0,2025-12-12,21.75,0.0,0.0,48.0,3,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,302.5,2025-12-12,0.01,0.0,0.0,51.0,258.0,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,305.0,2025-12-12,0.01,0.0,0.0,12.0,1929.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,305.0,2025-12-12,28.37,0.0,0.0,2.0,1,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,307.5,2025-12-12,0.01,0.0,0.0,5.0,276.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,310.0,2025-12-12,0.01,0.0,0.0,5.0,1999.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,310.0,2025-12-12,32.83,0.0,0.0,1.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,315.0,2025-12-12,0.01,0.0,0.0,2.0,1288.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,315.0,2025-12-12,30.43,0.0,0.0,1.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,320.0,2025-12-12,0.01,0.0,0.0,2.0,380.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,325.0,2025-12-12,0.01,0.0,0.0,5.0,222.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,330.0,2025-12-12,0.01,0.0,0.0,52.0,99.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,335.0,2025-12-12,0.01,0.0,0.0,11.0,45.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,340.0,2025-12-12,0.01,0.0,0.0,100.0,160.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,345.0,2025-12-12,0.01,0.0,0.0,2.0,11.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,350.0,2025-12-12,0.01,0.0,0.0,4.0,23.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,355.0,2025-12-12,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,365.0,2025-12-12,0.01,0.0,0.0,1.0,4.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,370.0,2025-12-12,0.01,0.0,0.0,3.0,3.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,375.0,2025-12-12,101.4,0.0,0.0,nan,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,380.0,2025-12-12,0.01,0.0,0.0,1.0,3.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,380.0,2025-12-12,106.42,0.0,0.0,nan,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,390.0,2025-12-12,0.01,0.0,0.0,1.0,2.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,400.0,2025-12-12,0.01,0.0,0.0,21.0,36.0,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,5.0,2025-12-19,272.83,0.0,0.0,53.0,255,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,5.0,2025-12-19,0.01,0.0,0.0,1.0,4888,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,10.0,2025-12-19,268.35,0.0,0.0,30.0,107,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,10.0,2025-12-19,0.01,0.0,0.01,5.0,89,6.7500015625000005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,15.0,2025-12-19,253.5,0.0,0.0,5.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,15.0,2025-12-19,0.01,0.0,0.01,1.0,3,5.87500265625,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,20.0,2025-12-19,247.25,0.0,0.0,100.0,10,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,20.0,2025-12-19,0.01,0.0,0.01,14.0,53,5.250003437499999,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,25.0,2025-12-19,245.7,0.0,0.0,3.0,3,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,25.0,2025-12-19,0.02,0.0,0.01,4.0,6,4.7500040624999995,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,30.0,2025-12-19,241.24,0.0,0.0,4.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,30.0,2025-12-19,0.02,0.0,0.01,7.0,153,4.375004531249999,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,35.0,2025-12-19,236.07,0.0,0.0,6.0,0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,35.0,2025-12-19,0.01,0.0,0.05,15.0,10,4.6562541796875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,40.0,2025-12-19,230.91,0.0,0.0,1.0,4,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,40.0,2025-12-19,0.01,0.0,0.02,5.0,3050,4.062504921875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,45.0,2025-12-19,223.7,0.0,0.0,1.0,1,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,45.0,2025-12-19,0.01,0.0,0.03,2.0,308,3.93750015625,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,50.0,2025-12-19,220.14,0.0,0.0,1.0,161,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,50.0,2025-12-19,0.01,0.0,0.0,1.0,6843,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,55.0,2025-12-19,214.22,229.35,232.9,1.0,80,9.1391644442749,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,55.0,2025-12-19,0.01,0.0,0.0,1.0,628,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,60.0,2025-12-19,212.15,0.0,0.0,5.0,196,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,60.0,2025-12-19,0.02,0.0,0.21,1.0,733,3.97656255859375,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,65.0,2025-12-19,206.5,0.0,0.0,4.0,224,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,65.0,2025-12-19,0.01,0.0,0.01,1.0,2196,2.8750028125,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,70.0,2025-12-19,197.95,0.0,0.0,120.0,824,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,70.0,2025-12-19,0.01,0.0,0.0,1.0,1275,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,75.0,2025-12-19,197.59,0.0,0.0,11.0,192,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,75.0,2025-12-19,0.01,0.0,0.02,135.0,3653,2.750003125,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,80.0,2025-12-19,194.75,0.0,0.0,1.0,201,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,80.0,2025-12-19,0.02,0.0,0.05,2.0,2420,2.8281279296874997,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,85.0,2025-12-19,195.23,0.0,0.0,1.0,382,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,85.0,2025-12-19,0.01,0.0,0.21,1.0,1879,3.0937522656249996,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,90.0,2025-12-19,188.0,0.0,0.0,5.0,279,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,90.0,2025-12-19,0.01,0.0,0.01,3.0,1885,2.2500043749999996,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,95.0,2025-12-19,173.2,0.0,0.0,2.0,186,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,95.0,2025-12-19,0.01,0.0,0.0,1.0,1689,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,100.0,2025-12-19,177.85,0.0,0.0,1.0,2498,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,100.0,2025-12-19,0.01,0.0,0.0,1.0,3581,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,105.0,2025-12-19,171.95,0.0,0.0,11.0,138,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,105.0,2025-12-19,0.01,0.0,0.0,5.0,944,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,110.0,2025-12-19,168.47,0.0,0.0,1.0,973,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,110.0,2025-12-19,0.02,0.0,0.0,451.0,2178,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,115.0,2025-12-19,162.68,0.0,0.0,1.0,216,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,115.0,2025-12-19,0.01,0.0,0.0,9.0,2402,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,120.0,2025-12-19,158.15,0.0,0.0,103.0,881,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,120.0,2025-12-19,0.01,0.0,0.0,4.0,4664,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,125.0,2025-12-19,152.6,0.0,0.0,1.0,538,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,125.0,2025-12-19,0.01,0.0,0.0,1.0,2341,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,130.0,2025-12-19,147.05,0.0,0.0,7.0,871,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,130.0,2025-12-19,0.01,0.0,0.0,3.0,3393,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,135.0,2025-12-19,141.33,0.0,0.0,1.0,753,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,135.0,2025-12-19,0.01,0.0,0.0,2.0,735,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,140.0,2025-12-19,136.36,0.0,0.0,3.0,1434,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,140.0,2025-12-19,0.01,0.0,0.0,201.0,2862,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,145.0,2025-12-19,132.75,0.0,0.0,1.0,858,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,145.0,2025-12-19,0.03,0.0,0.0,1.0,3308,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,150.0,2025-12-19,126.89,0.0,0.0,6.0,1513,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,150.0,2025-12-19,0.01,0.0,0.0,1.0,10919,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,155.0,2025-12-19,124.3,0.0,0.0,2.0,830,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,155.0,2025-12-19,0.01,0.0,0.0,45.0,3729,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,160.0,2025-12-19,117.8,0.0,0.0,14.0,1235,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,160.0,2025-12-19,0.01,0.0,0.0,8.0,5977,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,165.0,2025-12-19,113.05,0.0,0.0,20.0,2432,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,165.0,2025-12-19,0.01,0.0,0.0,3.0,11561,0.500005,0.0,0.0,0.0,0.0
